amfi_code,alpha,beta,r_squared,p_value
SCH001,21.15644113043114,0.01605931316574029,0.00017220706814877204,0.596397665429538
SCH002,7.8848600396137325,0.04507744941688367,0.0013089572353667898,0.1441552358431358
SCH003,-0.2238954853570192,-0.04500119754053358,0.0013490003877359334,0.1381603081121281
SCH004,-0.14493705283756547,-0.06603449629103245,0.002774050025699521,0.03342614728395648
SCH005,8.601765596670017,0.005907919063033479,2.084096112802635e-05,0.8538347978998132
SCH006,6.660781312785762,0.10694107698923147,0.008066103940554957,0.0002816095925015476
SCH007,0.4295350590029252,0.017350068715791218,0.00020603741967948922,0.5623995548681993
SCH008,12.739137503751131,-0.031904030556542284,0.0006832655825150572,0.29141375461375346
SCH009,14.371679229104128,-0.009127512026040849,5.293660145524935e-05,0.7690524074902912
SCH010,9.087926764505653,0.056350858607894405,0.0020146233483230545,0.06995296140831211
SCH011,16.06788658564007,0.014778066053460341,0.00014325431603675874,0.6290829639123432
SCH012,11.039686813720692,0.004794663685248063,1.5148174370259639e-05,0.8751946854932049
SCH013,1.0719946176363917,0.06136767949173636,0.0024131502605151296,0.04730337609505619
SCH014,0.40596282347232565,0.023001425283684908,0.000345522451981396,0.45314207045859345
SCH015,4.95106669364954,-0.025981981930415832,0.0004919202572275412,0.3707081729355318
SCH016,14.157070368061921,0.05312833933891472,0.0019038219527573665,0.07813235379922456
SCH017,6.900593609743318,-0.047901876761775146,0.00144742229623749,0.1245751964257477
SCH018,-4.911949756661113,0.020403019473888128,0.0002745015615626212,0.5037214602024193
SCH019,13.16626069194565,0.05521804840839782,0.0019092635147744542,0.07770755504086338
SCH020,-4.236385265159098,0.02960541436266047,0.0005469671049265328,0.3452119632311793
SCH021,8.882353880419991,-0.038343655980020645,0.0008826742083946342,0.23045194176690553
SCH022,-1.6522074555590311,-0.014593759098840354,0.0001406126309510793,0.6322634949949384
SCH023,0.2576676925952536,0.009009443834583193,5.6768957199526336e-05,0.7610841949119777
SCH024,11.002550939826468,0.0049098812604190115,1.5703843985128782e-05,0.8729453113642465
SCH025,18.411849500810607,0.0716453229490736,0.0034814084649802774,0.01716556652193251
SCH026,14.29632424861736,-0.006170160793740712,2.375397538401517e-05,0.8440763947153757
SCH027,10.130757434184781,0.012609017431592102,0.00010567462681036086,0.6782519708208589
SCH028,13.962288732081534,-0.013327669991252332,0.00012232618776960747,0.6553508603627056
SCH029,-7.7897398382127765,0.02844871929880774,0.0005248478210771032,0.3551588336542417
SCH030,7.932397812902741,0.06620326356061665,0.0026952667811549038,0.03604090437337636
SCH031,8.543691607292125,0.026126671098119315,0.00045522149351536693,0.3891817472600244
SCH032,10.06668414759238,0.03354040489134958,0.0007694754393522116,0.26287111208118763
SCH033,7.379022906387734,0.03306226014914135,0.0006517776304601635,0.3028127479955227
SCH034,4.778489086422679,-0.006638231785776455,2.7872718446546006e-05,0.8312860336422387
SCH035,4.190305944992745,-0.0025661620337671153,4.100847425473111e-06,0.9348689571626706
SCH036,8.206893823734323,0.013992239738389032,0.0001309697701948234,0.6441944611629065
SCH037,19.643613983884094,0.009794304255312568,6.141053745056032e-05,0.7518174708157266
SCH038,12.331965997050952,0.007612115309632998,3.780792516815677e-05,0.8040293406185868
SCH039,10.7024176995677,0.0006090658348592877,2.3893420345836546e-07,0.9842621653786668
SCH040,14.051643024738366,-0.010698204394933516,7.633355855336532e-05,0.7244019570776226
